Intervalle:600 sec;;;;;;;;;;;
Tension:229.999 V;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date/Heure:2018/25/04;10:00.0;20:00.0;;;;;;;;;
;;;;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';;;
2018/26/04;10:00.0;235.443;234.21;234.469;0.9;0.816;0.577;0.525;;;
2018/26/04;20:00.0;235.573;234.223;234.405;0.905;0.769;0.576;0.554;;;
2018/26/04;30:00.0;235.817;234.258;234.544;0.908;0.77;0.578;0.555;;;
2018/26/04;40:00.0;235.486;233.881;234.359;0.905;0.768;0.577;0.556;;;
2018/26/04;50:00.0;235.383;233.981;234.322;0.906;0.823;0.576;0.576;;;
2018/26/04;00:00.0;236.608;235.11;235.399;0.911;0.817;0.576;0.478;;;
2018/26/04;10:00.0;237.185;235.767;236.187;0.911;0.773;0.579;0.553;;;
2018/26/04;20:00.0;236.584;235.184;235.658;0.908;0.77;0.578;0.555;;;
2018/26/04;30:00.0;236.379;235.163;235.468;0.968;0.812;0.578;0.727;;;
2018/26/04;40:00.0;236.24;234.984;235.222;0.892;0.923;0.575;0.677;;;
2018/26/04;50:00.0;236.047;234.622;235.067;0.879;0.943;0.572;0.591;;;
2018/26/04;00:00.0;235.736;234.502;234.788;0.95;0.884;0.594;0.667;;;
2018/26/04;10:00.0;234.969;234.427;235.139;6.203;0.909;0.67;6.272;;;
2018/26/04;20:00.0;234.215;234.803;235.274;8.25;0.927;0.695;8.36;;;
2018/26/04;30:00.0;234.667;235.078;235.276;9.433;0.95;0.699;9.603;;;
2018/26/04;40:00.0;235.284;234.978;235.441;6.124;1.229;0.732;5.801;;;
2018/26/04;50:00.0;234.524;234.648;234.799;5.89;1.066;0.745;5.837;;;
2018/26/04;00:00.0;235.39;235.287;235.415;5.414;1.008;0.744;5.428;;;
2018/26/04;10:00.0;236.796;235.964;236.356;2.575;0.995;0.721;2.488;;;
2018/26/04;20:00.0;236.428;235.204;235.879;1.057;0.984;0.739;0.79;;;
2018/26/04;30:00.0;235.722;234.793;235.346;0.969;1.031;0.748;0.808;;;
2018/26/04;40:00.0;235.581;234.748;235.085;0.963;1.022;0.785;0.787;;;
2018/26/04;50:00.0;235.241;234.245;235.293;1.086;1.162;1.04;0.794;;;
2018/26/04;00:00.0;235.325;234.156;235.071;1.53;1.531;1.495;0.868;;;
2018/26/04;10:00.0;236.503;235.243;236.331;1.669;1.731;1.78;0.89;;;
2018/26/04;20:00.0;236.54;234.816;236.359;1.23;1.565;1.671;1.182;;;
2018/26/04;30:00.0;236.516;235.131;236.186;1.852;2.146;2.376;1.13;;;
2018/26/04;40:00.0;236.042;234.706;235.904;1.6;1.539;1.426;0.726;;;
2018/26/04;50:00.0;235.858;234.667;235.931;1.364;1.196;1.013;0.816;;;
2018/26/04;00:00.0;236.164;234.465;236.082;1.794;1.638;1.636;0.737;;;
2018/26/04;10:00.0;237.079;235.386;236.538;1.544;1.345;1.246;0.931;;;
2018/26/04;20:00.0;237.084;235.644;236.766;1.359;1.191;1.025;1.179;;;
2018/26/04;30:00.0;237.091;235.411;236.571;1.451;1.529;1.446;1.072;;;
2018/26/04;40:00.0;237.059;235.644;236.535;2.483;2.787;2.912;0.903;;;
2018/26/04;50:00.0;236.674;235.313;236.148;1.164;1.272;1.242;0.878;;;
2018/26/04;00:00.0;236.5;235.418;236.366;1.571;1.448;1.449;0.722;;;
2018/26/04;10:00.0;235.53;234.58;235.382;2.232;1.851;2.092;0.731;;;
2018/26/04;20:00.0;236.287;234.965;235.305;1.977;1.679;1.781;0.714;;;
2018/26/04;30:00.0;236.346;234.997;235.817;2.161;1.902;1.976;0.727;;;
2018/26/04;40:00.0;236.438;234.959;236.163;3.325;3.084;3.28;0.782;;;
2018/26/04;50:00.0;236.566;234.969;236.09;3.532;3.393;3.489;0.713;;;
2018/26/04;00:00.0;236.562;234.531;235.839;2.69;2.383;2.565;0.702;;;
2018/26/04;10:00.0;236.358;234.168;235.287;3.148;2.946;3.062;0.661;;;
2018/26/04;20:00.0;236.489;234.572;235.609;3.583;3.695;3.775;0.861;;;
2018/26/04;30:00.0;235.896;234.141;235.387;3.477;3.681;3.74;0.763;;;
2018/26/04;40:00.0;235.597;233.857;235.02;3.85;4;4.085;0.761;;;
2018/26/04;50:00.0;235.405;233.181;234.958;2.805;2.466;2.988;4.589;;;
2018/26/04;00:00.0;236.039;234.534;235.857;3.424;3.163;3.364;0.915;;;
2018/26/04;10:00.0;236.406;235.173;236.017;2.357;2.227;2.537;3.02;;;
2018/26/04;20:00.0;237.186;236.197;236.48;2.242;2.079;2.474;2.874;;;
2018/26/04;30:00.0;237.813;235.963;237.194;2.678;2.465;2.521;0.665;;;
2018/26/04;40:00.0;237.499;236.71;237.719;2.284;3.393;3.484;5.215;;;
2018/26/04;50:00.0;237.931;236.621;237.696;4.142;3.939;4.271;0.674;;;
2018/26/04;00:00.0;237.717;236.725;238.12;4.251;4.806;5.008;3.921;;;
2018/26/04;10:00.0;237.325;236.164;237.685;5.217;5.535;5.772;2.362;;;
2018/26/04;20:00.0;237.122;235.752;237;4.155;4.27;4.458;1.862;;;
2018/26/04;30:00.0;236.951;235.622;236.972;3.179;4.968;5.044;4.251;;;
2018/26/04;40:00.0;237.054;235.443;237.574;4.337;4.219;4.493;0.757;;;
2018/26/04;50:00.0;237.028;235.931;237.321;4.843;5.052;5.32;2.21;;;
2018/26/04;00:00.0;237.314;235.861;236.945;5.031;4.92;5.096;2.056;;;
2018/26/04;10:00.0;236.622;235.694;237.134;3.884;4.849;4.965;5.432;;;
2018/26/04;20:00.0;236.675;235.929;237.384;3.781;4.921;4.989;5.672;;;
2018/26/04;30:00.0;236.178;235.163;236.692;3.882;2.318;2.314;5.048;;;
2018/26/04;40:00.0;235.686;235.419;236.926;3.788;3.948;4.055;5.411;;;
2018/26/04;50:00.0;237.196;235.327;236.949;4.407;4.2;4.273;0.741;;;
2018/26/04;00:00.0;237.29;235.533;237.044;3.325;3.178;3.171;0.676;;;
2018/26/04;10:00.0;237.515;235.65;237.243;4.107;4.089;4.094;0.766;;;
2018/26/04;20:00.0;237.507;235.734;237.124;4.229;4.33;4.483;0.762;;;
2018/26/04;30:00.0;236.834;235.973;237.147;4.02;3.948;4.221;0.692;;;
2018/26/04;40:00.0;236.53;235.7;236.809;2.449;3.062;3.119;1.203;;;
2018/26/04;50:00.0;237.036;236.283;237.199;3.303;3.962;4.013;1.175;;;
2018/26/04;00:00.0;236.834;236.065;236.86;2.928;2.821;2.805;0.684;;;
